# file...... Output/DG_56.csv
# date...... Thu Dec  7 09:03:37 2017
# user...... yingying
# host...... (null)
# target.... load 17
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,constant_power_A_real,constant_power_B_real,constant_power_C_real
2010-08-16 00:32:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:33:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:33:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:34:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:34:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:35:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:35:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:36:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:36:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:37:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:37:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:38:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:38:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:39:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:39:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:40:00 UTC,-13333.4128569,-13333.4128569,-13333.4128569
2010-08-16 00:40:30 UTC,-13333.4128569,-13333.4128569,-13333.4128569
2010-08-16 00:41:00 UTC,-13333.4128569,-13333.4128569,-13333.4128569
2010-08-16 00:41:30 UTC,-13333.4128569,-13333.4128569,-13333.4128569
2010-08-16 00:42:00 UTC,-13333.4128569,-13333.4128569,-13333.4128569
2010-08-16 00:42:30 UTC,-13333.4128569,-13333.4128569,-13333.4128569
2010-08-16 00:43:00 UTC,-13333.4128569,-13333.4128569,-13333.4128569
2010-08-16 00:43:30 UTC,-13333.4128569,-13333.4128569,-13333.4128569
2010-08-16 00:44:00 UTC,-13333.4128569,-13333.4128569,-13333.4128569
2010-08-16 00:44:30 UTC,-13333.4128569,-13333.4128569,-13333.4128569
2010-08-16 00:45:00 UTC,-13333.3895395,-13333.3895395,-13333.3895395
2010-08-16 00:45:30 UTC,-13333.3895395,-13333.3895395,-13333.3895395
2010-08-16 00:46:00 UTC,-13333.3895395,-13333.3895395,-13333.3895395
2010-08-16 00:46:30 UTC,-13333.3895395,-13333.3895395,-13333.3895395
2010-08-16 00:47:00 UTC,-13333.3895395,-13333.3895395,-13333.3895395
2010-08-16 00:47:30 UTC,-13333.3895395,-13333.3895395,-13333.3895395
2010-08-16 00:48:00 UTC,-13333.3895395,-13333.3895395,-13333.3895395
2010-08-16 00:48:30 UTC,-13333.3895395,-13333.3895395,-13333.3895395
2010-08-16 00:49:00 UTC,-13333.3895395,-13333.3895395,-13333.3895395
2010-08-16 00:49:30 UTC,-13333.3895395,-13333.3895395,-13333.3895395
2010-08-16 00:50:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:50:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:51:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:51:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:52:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:52:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:53:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:53:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:54:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:54:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:55:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:55:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:56:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:56:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:57:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:57:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:58:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:58:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:59:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 00:59:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 01:00:00 UTC,-13333.4085342,-13333.4085342,-13333.4085342
2010-08-16 01:00:30 UTC,-13333.4085342,-13333.4085342,-13333.4085342
2010-08-16 01:01:00 UTC,-13333.4085342,-13333.4085342,-13333.4085342
2010-08-16 01:01:30 UTC,-13333.4085342,-13333.4085342,-13333.4085342
2010-08-16 01:02:00 UTC,-13333.4085342,-13333.4085342,-13333.4085342
2010-08-16 01:02:30 UTC,-13333.4085342,-13333.4085342,-13333.4085342
2010-08-16 01:03:00 UTC,-13333.4085342,-13333.4085342,-13333.4085342
2010-08-16 01:03:30 UTC,-13333.4085342,-13333.4085342,-13333.4085342
2010-08-16 01:04:00 UTC,-13333.4085342,-13333.4085342,-13333.4085342
2010-08-16 01:04:30 UTC,-13333.4085342,-13333.4085342,-13333.4085342
2010-08-16 01:05:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 01:05:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 01:06:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 01:06:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 01:07:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 01:07:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 01:08:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 01:08:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 01:09:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 01:09:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 01:10:00 UTC,-13333.3870573,-13333.3870573,-13333.3870573
2010-08-16 01:10:30 UTC,-13333.3870573,-13333.3870573,-13333.3870573
2010-08-16 01:11:00 UTC,-13333.3870573,-13333.3870573,-13333.3870573
2010-08-16 01:11:30 UTC,-13333.3870573,-13333.3870573,-13333.3870573
2010-08-16 01:12:00 UTC,-13333.3870573,-13333.3870573,-13333.3870573
2010-08-16 01:12:30 UTC,-13333.3870573,-13333.3870573,-13333.3870573
2010-08-16 01:13:00 UTC,-13333.3870573,-13333.3870573,-13333.3870573
2010-08-16 01:13:30 UTC,-13333.3870573,-13333.3870573,-13333.3870573
2010-08-16 01:14:00 UTC,-13333.3870573,-13333.3870573,-13333.3870573
2010-08-16 01:14:30 UTC,-13333.3870573,-13333.3870573,-13333.3870573
2010-08-16 01:15:00 UTC,-13333.3939403,-13333.3939403,-13333.3939403
2010-08-16 01:15:30 UTC,-13333.3939403,-13333.3939403,-13333.3939403
2010-08-16 01:16:00 UTC,-13333.3939403,-13333.3939403,-13333.3939403
2010-08-16 01:16:30 UTC,-13333.3939403,-13333.3939403,-13333.3939403
2010-08-16 01:17:00 UTC,-13333.3939403,-13333.3939403,-13333.3939403
2010-08-16 01:17:30 UTC,-13333.3939403,-13333.3939403,-13333.3939403
2010-08-16 01:18:00 UTC,-13333.3939403,-13333.3939403,-13333.3939403
2010-08-16 01:18:30 UTC,-13333.3939403,-13333.3939403,-13333.3939403
2010-08-16 01:19:00 UTC,-13333.3939403,-13333.3939403,-13333.3939403
2010-08-16 01:19:30 UTC,-13333.3939403,-13333.3939403,-13333.3939403
2010-08-16 01:20:00 UTC,-13333.4044759,-13333.4044759,-13333.4044759
2010-08-16 01:20:30 UTC,-13333.4044759,-13333.4044759,-13333.4044759
2010-08-16 01:21:00 UTC,-13333.4044759,-13333.4044759,-13333.4044759
2010-08-16 01:21:30 UTC,-13333.4044759,-13333.4044759,-13333.4044759
2010-08-16 01:22:00 UTC,-13333.4044759,-13333.4044759,-13333.4044759
2010-08-16 01:22:30 UTC,-13333.4044759,-13333.4044759,-13333.4044759
2010-08-16 01:23:00 UTC,-13333.4044759,-13333.4044759,-13333.4044759
2010-08-16 01:23:30 UTC,-13333.4044759,-13333.4044759,-13333.4044759
2010-08-16 01:24:00 UTC,-13333.4044759,-13333.4044759,-13333.4044759
2010-08-16 01:24:30 UTC,-13333.4044759,-13333.4044759,-13333.4044759
2010-08-16 01:25:00 UTC,-13333.5057117,-13333.5057117,-13333.5057117
2010-08-16 01:25:30 UTC,-13333.5057117,-13333.5057117,-13333.5057117
2010-08-16 01:26:00 UTC,-13333.5057117,-13333.5057117,-13333.5057117
2010-08-16 01:26:30 UTC,-13333.5057117,-13333.5057117,-13333.5057117
2010-08-16 01:27:00 UTC,-13333.5057117,-13333.5057117,-13333.5057117
2010-08-16 01:27:30 UTC,-13333.5057117,-13333.5057117,-13333.5057117
2010-08-16 01:28:00 UTC,-13333.5057117,-13333.5057117,-13333.5057117
2010-08-16 01:28:30 UTC,-13333.5057117,-13333.5057117,-13333.5057117
2010-08-16 01:29:00 UTC,-13333.5057117,-13333.5057117,-13333.5057117
2010-08-16 01:29:30 UTC,-13333.5057117,-13333.5057117,-13333.5057117
2010-08-16 01:30:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 01:30:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 01:31:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 01:31:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 01:32:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 01:32:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 01:33:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 01:33:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 01:34:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 01:34:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 01:35:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 01:35:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 01:36:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 01:36:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 01:37:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 01:37:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 01:38:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 01:38:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 01:39:00 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 01:39:30 UTC,-13333.3333333,-13333.3333333,-13333.3333333
2010-08-16 01:40:00 UTC,-13333.4858442,-13333.4858442,-13333.4858442
2010-08-16 01:40:30 UTC,-13333.4858442,-13333.4858442,-13333.4858442
2010-08-16 01:41:00 UTC,-13333.4858442,-13333.4858442,-13333.4858442
2010-08-16 01:41:30 UTC,-13333.4858442,-13333.4858442,-13333.4858442
2010-08-16 01:42:00 UTC,-13333.4892813,-13333.4892813,-13333.4892813
2010-08-16 01:42:30 UTC,-13333.3560093,-13333.3560093,-13333.3560093
2010-08-16 01:43:00 UTC,-13333.3560093,-13333.3560093,-13333.3560093
2010-08-16 01:43:30 UTC,-13333.3560093,-13333.3560093,-13333.3560093
2010-08-16 01:44:00 UTC,-13333.3560093,-13333.3560093,-13333.3560093
2010-08-16 01:44:30 UTC,-13333.3560093,-13333.3560093,-13333.3560093
2010-08-16 01:45:00 UTC,-13333.3905921,-13333.3905921,-13333.3905921
2010-08-16 01:45:30 UTC,-13333.3905921,-13333.3905921,-13333.3905921
2010-08-16 01:46:00 UTC,-13333.3905921,-13333.3905921,-13333.3905921
2010-08-16 01:46:30 UTC,-13333.3905921,-13333.3905921,-13333.3905921
